kind,name,number,language,source_path
SW.Blocks.GlobalDB,PalletRelease,9001,DB,EXPORT/Program blocks/OP010/03_Auto/PalletRelease.xml
SW.Blocks.GlobalDB,Parameter,170,DB,EXPORT/Program blocks/OP010/08_ChangeOver/Parameter.xml
SW.Blocks.GlobalDB,PartData_Interface_DB,1500,DB,EXPORT/Program blocks/OP010/12_PartData/PartData_Interface_DB.xml
SW.Blocks.GlobalDB,PilzData,2702,DB,EXPORT/Program blocks/OP010/10_Device/27_Pilz/PilzData.xml
SW.Blocks.GlobalDB,ProcessData_1,2300,DB,EXPORT/Program blocks/OP010/10_Device/23_Kistler/ProcessData_1.xml
SW.Blocks.GlobalDB,Robot_DB,2405,DB,EXPORT/Program blocks/OP010/10_Device/24_Robot/Robot_DB.xml
SW.Blocks.GlobalDB,ST10Cylinder,1020,DB,EXPORT/Program blocks/OP010/10_Device/01_Cylinder/ST10Cylinder.xml
SW.Blocks.GlobalDB,ST10_DBInterface_Stopper,2602,DB,EXPORT/Program blocks/OP010/10_Device/26_Stopper/ST10_DBInterface_Stopper.xml
SW.Blocks.GlobalDB,ST10_DeviceError,1067,DB,EXPORT/Program blocks/OP010/05_Alarm/ST10_DeviceError.xml
SW.Blocks.GlobalDB,ST10_GeneralData,1059,DB,EXPORT/Program blocks/OP010/00_Main/ST10_GeneralData.xml
SW.Blocks.GlobalDB,ST10_GlobalError,1066,DB,EXPORT/Program blocks/OP010/05_Alarm/ST10_GlobalError.xml
SW.Blocks.GlobalDB,ST10_PLC_GetDB,901,DB,EXPORT/Program blocks/OP010/10_Device/09_CuringOven/ST10_PLC_GetDB.xml
SW.Blocks.GlobalDB,ST10_PLC_PutDB,902,DB,EXPORT/Program blocks/OP010/10_Device/09_CuringOven/ST10_PLC_PutDB.xml
SW.Blocks.GlobalDB,ST10_PM,1063,DB,EXPORT/Program blocks/OP010/03_Auto/ST10_PM.xml
SW.Blocks.GlobalDB,ST10_PMCountCycleTime,1061,DB,EXPORT/Program blocks/OP010/09_Count_CycleTime/ST10_PMCountCycleTime.xml
SW.Blocks.GlobalDB,ST10_RecipeActiveDB,1064,DB,EXPORT/Program blocks/OP010/08_ChangeOver/ST10_RecipeActiveDB.xml
SW.Blocks.GlobalDB,ST10_RecipeDB,1062,DB,EXPORT/Program blocks/OP010/08_ChangeOver/ST10_RecipeDB.xml
SW.Blocks.GlobalDB,ST10_RecipeDB_HMI,1079,DB,EXPORT/Program blocks/OP010/08_ChangeOver/ST10_RecipeDB_HMI.xml
SW.Blocks.GlobalDB,ST10_SafetyGate_InterfaceDB,1140,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_SafetyGate_InterfaceDB.xml
SW.Blocks.GlobalDB,ST10_Stopper_InterfaceDB,1161,DB,EXPORT/Program blocks/OP010/10_Device/06_Stopper/ST10_Stopper_InterfaceDB.xml
SW.Blocks.GlobalDB,ST10_SysInput,1001,DB,EXPORT/Program blocks/OP010/01_Input/ST10_SysInput.xml
SW.Blocks.GlobalDB,ST10_SysOutput,1002,DB,EXPORT/Program blocks/OP010/02_Output/ST10_SysOutput.xml
SW.Blocks.GlobalDB,ST10_TipDB,1069,DB,EXPORT/Program blocks/OP010/07_Tip/ST10_TipDB.xml
SW.Blocks.GlobalDB,ST10_WarningDB,1068,DB,EXPORT/Program blocks/OP010/06_Warning/ST10_WarningDB.xml
SW.Blocks.GlobalDB,Scanner1LoadData,530,DB,EXPORT/Program blocks/OP010/11_MES/Scanner1LoadData.xml
SW.Blocks.GlobalDB,ServoV90_A1,2501,DB,EXPORT/Program blocks/OP010/10_Device/25_V90/ServoV90_A1.xml
SW.Blocks.GlobalDB,ServoV90_A2,2502,DB,EXPORT/Program blocks/OP010/10_Device/25_V90/ServoV90_A2.xml
SW.Blocks.GlobalDB,ServoV90_A3,2503,DB,EXPORT/Program blocks/OP010/10_Device/25_V90/ServoV90_A3.xml
SW.Blocks.GlobalDB,ServoV90_A4,2504,DB,EXPORT/Program blocks/OP010/10_Device/25_V90/ServoV90_A4.xml
SW.Blocks.GlobalDB,ServoV90_DeviceCtl,4073,DB,EXPORT/Program blocks/OP010/10_Device/25_V90/ServoV90_DeviceCtl.xml
SW.Blocks.GlobalDB,Station1LoadData,510,DB,EXPORT/Program blocks/OP010/11_MES/Station1LoadData.xml
SW.Blocks.GlobalDB,Station1UnLoadData,511,DB,EXPORT/Program blocks/OP010/11_MES/Station1UnLoadData.xml
SW.Blocks.GlobalDB,Station2LoadData,512,DB,EXPORT/Program blocks/OP010/11_MES/Station2LoadData.xml
SW.Blocks.GlobalDB,Station2UnLoadData,513,DB,EXPORT/Program blocks/OP010/11_MES/Station2UnLoadData.xml
SW.Blocks.GlobalDB,Station3LoadData,514,DB,EXPORT/Program blocks/OP010/11_MES/Station3LoadData.xml
SW.Blocks.GlobalDB,Station3UnLoadData,515,DB,EXPORT/Program blocks/OP010/11_MES/Station3UnLoadData.xml
SW.Blocks.GlobalDB,Station4LoadData,516,DB,EXPORT/Program blocks/OP010/11_MES/Station4LoadData.xml
SW.Blocks.GlobalDB,Station4UnLoadData,517,DB,EXPORT/Program blocks/OP010/11_MES/Station4UnLoadData.xml
SW.Blocks.GlobalDB,Station5LoadData,518,DB,EXPORT/Program blocks/OP010/11_MES/Station5LoadData.xml
SW.Blocks.GlobalDB,Station5UnLoadData,519,DB,EXPORT/Program blocks/OP010/11_MES/Station5UnLoadData.xml
SW.Blocks.GlobalDB,Station6LoadData,520,DB,EXPORT/Program blocks/OP010/11_MES/Station6LoadData.xml
SW.Blocks.GlobalDB,Station6UnLoadData,521,DB,EXPORT/Program blocks/OP010/11_MES/Station6UnLoadData.xml
SW.Blocks.GlobalDB,Station7LoadData,522,DB,EXPORT/Program blocks/OP010/11_MES/Station7LoadData.xml
SW.Blocks.GlobalDB,Station7UnLoadData,523,DB,EXPORT/Program blocks/OP010/11_MES/Station7UnLoadData.xml
SW.Blocks.GlobalDB,Station8LoadData,524,DB,EXPORT/Program blocks/OP010/11_MES/Station8LoadData.xml
SW.Blocks.GlobalDB,Station8UnLoadData,525,DB,EXPORT/Program blocks/OP010/11_MES/Station8UnLoadData.xml
SW.Blocks.GlobalDB,Station_Sys,1060,DB,EXPORT/Program blocks/OP010/00_Main/Station_Sys.xml
SW.Blocks.GlobalDB,Sys,3000,DB,EXPORT/Program blocks/02_Comm/06_SysDataBlock&Function/Sys.xml
SW.Blocks.GlobalDB,TON,163,DB,EXPORT/Program blocks/OP010/03_Auto/TON.xml
SW.Blocks.InstanceDB,AutoProcessDataPopUp_DB,2,DB,EXPORT/Program blocks/OP010/03_Auto/HMI/AutoProcessDataPopUp_DB.xml
SW.Blocks.InstanceDB,Axis_FB_DB,2200,DB,EXPORT/Program blocks/OP010/10_Device/22_IAI/Axis_FB_DB.xml
SW.Blocks.InstanceDB,Call_KeyenceCheckerIV_DB,2100,DB,EXPORT/Program blocks/OP010/10_Device/21_IV3/Call_KeyenceCheckerIV_DB.xml
SW.Blocks.InstanceDB,CheckPositioningOrder_IDB,3,DB,EXPORT/Program blocks/OP010/10_Device/25_V90/Patch/CheckPositioningOrder_IDB.xml
